School_Name,Region,School_Type,Starting_Median_Salary,Mid_Career_Median_Salary,abs_increase,percent_increase
Adelphi University,Northeastern,NA,40600,79200,38600,195.07389162561577
"American University, Washington D.C.",Southern,NA,45300,90800,45500,200.44150110375276
Amherst College,Northeastern,Liberal Arts,54500,107000,52500,196.3302752293578
Appalachian State University,Southern,State,40400,69100,28700,171.03960396039605
Arizona State University (ASU),Western,Party,47400,84100,36700,177.42616033755274
Arizona State University (ASU),Western,State,47400,84100,36700,177.42616033755274
Arkansas State University (ASU),Southern,State,38700,63300,24600,163.56589147286823
Auburn University,Southern,State,45400,84700,39300,186.56387665198238
Austin Peay State University,Southern,State,37700,59200,21500,157.0291777188329
Ball State University (BSU),Midwestern,State,39100,64500,25400,164.96163682864452
Bates College,Northeastern,Liberal Arts,47300,96500,49200,204.01691331923888
Baylor University,Southern,NA,48300,88600,40300,183.4368530020704
Binghamton University,Northeastern,State,53600,95900,42300,178.9179104477612
Black Hills State University,Midwestern,State,35300,43900,8600,124.36260623229462
Boise State University (BSU),Western,State,40800,69500,28700,170.34313725490196
Boston College,Northeastern,NA,52700,103000,50300,195.4459203036053
Boston University,Northeastern,NA,49000,93900,44900,191.6326530612245
Bowdoin College,Northeastern,Liberal Arts,48100,107000,58900,222.45322245322242
Bowling Green State University,Midwestern,State,39800,72100,32300,181.15577889447238
Bradley University,Midwestern,NA,47000,87300,40300,185.74468085106383
Brigham Young University (BYU),Western,NA,49400,88600,39200,179.35222672064776
Brown University,Northeastern,Ivy League,56200,109000,52800,193.95017793594306
Bucknell University,Northeastern,Liberal Arts,54100,110000,55900,203.3271719038817
Cal Poly San Luis Obispo,California,State,57200,101000,43800,176.5734265734266
California Institute of Technology (CIT),California,Engineering,75500,123000,47500,162.91390728476821
"California State University (CSU), Chico",California,State,47400,88100,40700,185.8649789029536
"California State University (CSU), Stanislaus",California,State,38000,71400,33400,187.89473684210526
"California State University, Dominguez Hills (CSUDH)",California,State,42700,72100,29400,168.85245901639345
"California State University, East Bay (CSUEB)",California,State,49200,84300,35100,171.34146341463415
"California State University, Fullerton (CSUF)",California,State,45700,87000,41300,190.37199124726476
"California State University, Long Beach (CSULB)",California,State,45100,84700,39600,187.80487804878047
"California State University, Northridge (CSUN)",California,State,45500,80400,34900,176.7032967032967
"California State University, Sacramento (CSUS)",California,State,47800,82400,34600,172.38493723849373
Carleton College,Midwestern,Liberal Arts,47500,103000,55500,216.8421052631579
Carnegie Mellon University (CMU),Northeastern,Engineering,61800,111000,49200,179.6116504854369
Case Western Reserve University,Midwestern,NA,56200,96500,40300,171.7081850533808
Clemson University,Southern,State,48400,86000,37600,177.68595041322314
Cleveland State University,Midwestern,State,43500,73100,29600,168.04597701149427
Colby College,Northeastern,Liberal Arts,46400,85800,39400,184.91379310344826
Colgate University,Northeastern,Liberal Arts,52800,108000,55200,204.54545454545453
College of the Holy Cross,Northeastern,Liberal Arts,50200,106000,55800,211.15537848605578
Colorado College (CC),Western,Liberal Arts,38500,81400,42900,211.42857142857144
Colorado School of Mines,Western,Engineering,58100,106000,47900,182.44406196213424
Colorado State University (CSU),Western,State,44800,79000,34200,176.33928571428572
Columbia University,Northeastern,Ivy League,59400,107000,47600,180.13468013468014
Cooper Union,Northeastern,Engineering,62200,114000,51800,183.2797427652733
Cornell University,Northeastern,Ivy League,60300,110000,49700,182.42122719734658
Dallas Baptist University,Southern,NA,39400,60200,20800,152.79187817258884
Dartmouth College,Northeastern,Ivy League,58000,134000,76000,231.0344827586207
Davenport University,Midwestern,NA,39700,46600,6900,117.38035264483626
Davidson College,Southern,Liberal Arts,46100,104000,57900,225.59652928416486
Denison University,Midwestern,Liberal Arts,42000,83500,41500,198.80952380952382
DePaul University,Midwestern,NA,46400,84800,38400,182.75862068965517
DePauw University,Midwestern,Liberal Arts,41400,88200,46800,213.0434782608696
Dowling College,Northeastern,NA,41100,82800,41700,201.45985401459856
Drexel University,Northeastern,NA,53400,93500,40100,175.0936329588015
Duke University,Southern,NA,58900,106000,47100,179.9660441426146
Duquesne University,Northeastern,NA,40700,84400,43700,207.37100737100738
East Carolina University (ECU),Southern,State,40200,67500,27300,167.91044776119404
Eastern Michigan University,Midwestern,State,40300,72100,31800,178.90818858560792
Eastern Washington University,Western,State,38600,70900,32300,183.67875647668396
Emory University,Southern,NA,52000,91600,39600,176.15384615384616
Evergreen State College,Western,Liberal Arts,39500,63900,24400,161.77215189873417
Fairleigh Dickinson University,Northeastern,NA,45700,78700,33000,172.21006564551422
Fashion Institute of Technology,Northeastern,NA,42800,81000,38200,189.25233644859813
Fitchburg State College,Northeastern,State,42400,72600,30200,171.22641509433961
Florida Atlantic University (FAU),Southern,State,42600,71100,28500,166.90140845070422
Florida International University (FIU),Southern,State,43200,75500,32300,174.7685185185185
Florida Metropolitan University (FMU),Southern,NA,36600,51000,14400,139.34426229508196
Florida State University (FSU),Southern,Party,42100,73000,30900,173.39667458432305
Florida State University (FSU),Southern,State,42100,73000,30900,173.39667458432305
Fordham University,Northeastern,NA,47800,99900,52100,208.99581589958157
Fort Lewis College,Western,Liberal Arts,42000,69800,27800,166.1904761904762
Franklin and Marshall College,Northeastern,Liberal Arts,49100,92800,43700,189.0020366598778
George Mason University,Southern,State,47800,86900,39100,181.79916317991632
George Washington University (GWU),Southern,NA,47000,97900,50900,208.29787234042553
Georgetown University,Southern,NA,55000,110000,55000,200
Georgia Institute of Technology,Southern,Engineering,58300,106000,47700,181.8181818181818
Georgia State University,Southern,State,41800,74000,32200,177.0334928229665
Gettysburg College,Northeastern,Liberal Arts,44700,85800,41100,191.9463087248322
Gonzaga University,Western,NA,44900,76000,31100,169.26503340757236
Grinnell College,Midwestern,Liberal Arts,42600,76600,34000,179.81220657276995
Gustavus Adolphus College,Midwestern,Liberal Arts,44500,80600,36100,181.12359550561797
Hamilton College,Northeastern,Liberal Arts,49200,83700,34500,170.1219512195122
Harvard University,Northeastern,Ivy League,63400,124000,60600,195.58359621451103
Harvey Mudd College,California,Engineering,71800,122000,50200,169.91643454039
Hofstra University,Northeastern,NA,46800,92700,45900,198.0769230769231
Howard University,Southern,NA,46900,81800,34900,174.4136460554371
Humboldt State University,California,State,42600,71300,28700,167.37089201877936
Idaho State University,Western,State,44900,73400,28500,163.47438752783964
