term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-14687.218390804599,-22833.027295761156,-6541.409485848042,1.1893291955056284e-5
Region,Northeastern-California,-2017.9109474389115,-9848.89848676163,5813.076591883806,0.954881247398293
Region,Southern-California,-13175.440613026818,-21129.712024010074,-5221.169202043563,7.563001177468553e-5
Region,Western-California,-14859.342421812355,-23810.52055889384,-5908.16428473087,7.234809197598224e-5
Region,Northeastern-Midwestern,12669.307443365688,7014.628711309714,18323.98617542166,2.2650112008193446e-8
Region,Southern-Midwestern,1511.777777777781,-4312.435422417076,7335.990977972638,0.9537009345819496
Region,Western-Midwestern,-172.12403100775555,-7297.754933847448,6953.506871831937,0.9999956182020462
Region,Southern-Northeastern,-11157.529665587906,-16532.622457929465,-5782.43687324635,2.7147377124059346e-7
Region,Western-Northeastern,-12841.431474373443,-19604.920136924902,-6077.942811821983,3.320115880112162e-6
Region,Western-Southern,-1683.9018087855366,-8589.75778230685,5221.954164735777,0.9629546219209086
