term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,14997.222222222219,2518.350805968874,27476.093638475562,0.00959643564900603
School_Type,Liberal Arts-Engineering,-15749.054373522464,-23889.372518368687,-7608.73622867624,2.266772026637831e-6
School_Type,Party-Engineering,-20442.77777777778,-29984.141016361362,-10901.4145391942,1.2028954365916888e-7
School_Type,State-Engineering,-26560.3492063492,-33829.66037185494,-19291.038040843465,1.4876988529977098e-13
School_Type,Liberal Arts-Ivy League,-30746.276595744683,-41978.282008191294,-19514.271183298075,8.851364086126523e-12
School_Type,Party-Ivy League,-35440,-47725.38882317167,-23154.61117682833,8.040235144335384e-13
School_Type,State-Ivy League,-41557.57142857142,-52175.29486190983,-30939.84799523301,1.3777867735598193e-13
School_Type,Party-Liberal Arts,-4693.723404255317,-12534.216131912126,3146.7693234014905,0.47046125560513974
School_Type,State-Liberal Arts,-10811.294832826738,-15636.084836836395,-5986.50482881708,2.783438124431825e-8
School_Type,State-Party,-6117.57142857142,-13049.485416358128,814.3425592152871,0.11211392011717614
