term,comparison,estimate,conf.low,conf.high,adj.p.value
School_Type,Ivy League-Engineering,14997.222222222525,2518.350805969176,27476.093638475875,0.009596435649004031
School_Type,Liberal Arts-Engineering,-15749.054373522304,-23889.37251836853,-7608.736228676078,2.266772026637831e-6
School_Type,Party-Engineering,-20442.77777777762,-29984.1410163612,-10901.414539194038,1.2028954365916888e-7
School_Type,State-Engineering,-26560.349206349056,-33829.66037185479,-19291.03804084332,1.4876988529977098e-13
School_Type,Liberal Arts-Ivy League,-30746.27659574483,-41978.28200819144,-19514.271183298217,8.851475108428986e-12
School_Type,Party-Ivy League,-35440.000000000146,-47725.388823171816,-23154.611176828475,8.040235144335384e-13
School_Type,State-Ivy League,-41557.57142857158,-52175.29486190999,-30939.84799523317,1.3777867735598193e-13
School_Type,Party-Liberal Arts,-4693.723404255317,-12534.216131912126,3146.7693234014923,0.47046125560513996
School_Type,State-Liberal Arts,-10811.294832826752,-15636.08483683641,-5986.504828817094,2.783438124431825e-8
School_Type,State-Party,-6117.571428571435,-13049.485416358144,814.3425592152735,0.1121139201171748
