term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-10065.103448275855,-16539.04235675996,-3591.164539791748,2.5195945977252165e-4
Region,Northeastern-California,-1959.1228657515894,-8182.855280076614,4264.609548573435,0.9100404856026748
Region,Southern-California,-9665.325670498081,-15987.03880875662,-3343.612532239542,3.383000082731735e-4
Region,Western-California,-10616.35926222935,-17730.371031295417,-3502.3474931632854,5.099241701232993e-4
Region,Northeastern-Midwestern,8105.980582524266,3611.884896562433,12600.076268486098,1.1791842262076635e-5
Region,Southern-Midwestern,399.77777777777374,-4229.056618902602,5028.61217445815,0.9993011486565366
Region,Western-Midwestern,-551.2558139534958,-6214.401081370821,5111.889453463829,0.998880346154198
Region,Southern-Northeastern,-7706.202804746492,-11978.095599073966,-3434.310010419018,1.1755517790645875e-5
Region,Western-Northeastern,-8657.236396477761,-14032.566571844374,-3281.9062211111495,1.311939861090572e-4
Region,Western-Southern,-951.0335917312696,-6439.5111886170835,4537.444005154544,0.9895398482556803
