term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-4862.787723785201,-10117.35348708056,391.7780395101581,0.08467916981789003
Region,Northeastern-California,1026.035805626576,-4094.000103387215,6146.071714640367,0.9818616601054174
Region,Southern-California,-4810.681696188971,-9957.57010402027,336.2067116423286,0.07953360169133172
Region,Western-California,-4899.006211180153,-10746.241455480744,948.2290331204395,0.147835617084505
Region,Northeastern-Midwestern,5888.823529411777,2344.6391576774945,9433.007901146058,7.354751656607483e-5
Region,Southern-Midwestern,52.10602759622998,-3530.760901822594,3634.972957015054,0.9999994208401308
Region,Western-Midwestern,-36.21848739495181,-4567.954926492647,4495.517951702744,0.9999999471481149
Region,Southern-Northeastern,-5836.717501815547,-9219.207972270418,-2454.227031360676,3.349430966670397e-5
Region,Western-Northeastern,-5925.0420168067285,-10300.078188341864,-1550.005845271594,0.002233987720325903
Region,Western-Southern,-88.32451499118179,-4494.755505636372,4318.106475654008,0.9999979114164689
