term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-19244.229885057706,-32078.598260654562,-6409.86150946085,4.711632876863714e-4
Region,Northeastern-California,1948.4432541009592,-10389.89907593097,14286.78558413289,0.9926547084225018
Region,Southern-California,-16925.785440613196,-29458.371294170254,-4393.199587056135,0.002293597316988638
Region,Western-California,-21195.268644747644,-35298.56015911018,-7091.9771303851085,4.534821988192439e-4
Region,Northeastern-Midwestern,21192.673139158665,12283.278045357805,30102.068232959526,2.5256257085715106e-9
Region,Southern-Midwestern,2318.4444444445107,-6858.065658048901,11494.954546937923,0.9579365754196758
Region,Western-Midwestern,-1951.0387596899382,-13178.035732321372,9275.958212941496,0.9894243562476194
Region,Southern-Northeastern,-18874.228694714155,-27343.1139527455,-10405.343436682806,2.7210243835895653e-8
Region,Western-Northeastern,-23143.711898848604,-33800.12503254478,-12487.298765152424,6.494962390135584e-8
Region,Western-Southern,-4269.483204134449,-15150.207334436313,6611.240926167415,0.8187018820537151
