salary_type,term,comparison,adj.p.value,flag
Mid_Career_75th_Percentile_Salary,School_Type,State-Liberal Arts,1.4976908602193362e-13,***
Mid_Career_75th_Percentile_Salary,School_Type,State-Party,0.03646939577745523,*
Mid_Career_90th_Percentile_Salary,School_Type,Ivy League-Engineering,4.218847493575595e-15,***
Mid_Career_90th_Percentile_Salary,School_Type,Liberal Arts-Engineering,0.43870954216257674,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,School_Type,Party-Engineering,0.8516001297798959,Cannot Reject the NULL Hypothesis
Mid_Career_90th_Percentile_Salary,School_Type,State-Engineering,8.946064559708367e-4,***
Mid_Career_90th_Percentile_Salary,School_Type,Liberal Arts-Ivy League,5.615963249994138e-11,***
Mid_Career_90th_Percentile_Salary,School_Type,Party-Ivy League,0,***
Mid_Career_90th_Percentile_Salary,School_Type,State-Ivy League,0,***
Mid_Career_90th_Percentile_Salary,School_Type,Party-Liberal Arts,0.04059362385093401,*
Mid_Career_90th_Percentile_Salary,School_Type,State-Liberal Arts,1.7801789042870553e-8,***
Mid_Career_90th_Percentile_Salary,School_Type,State-Party,0.01822616044428116,*
