term,comparison,estimate,conf.low,conf.high,adj.p.value
Region,Midwestern-California,-15116.614420062746,-35703.186542477924,5469.957702352429,0.2600971580709851
Region,Northeastern-California,30045.454545454384,9134.819157312271,50956.08993359649,9.78987850413282e-4
Region,Southern-California,-10243.6079545455,-30563.073468592884,10075.857559501885,0.6370518611908119
Region,Western-California,-19016.31016042785,-41512.42893750929,3479.808616653594,0.14091701714480565
Region,Northeastern-Midwestern,45162.06896551713,29460.427521142898,60863.71040989136,1.2961853812498703e-12
Region,Southern-Midwestern,4873.006465517246,-10032.279525983558,19778.29245701805,0.8970121921305392
Region,Western-Midwestern,-3899.695740365103,-21658.136880972725,13858.745400242518,0.974370497099555
Region,Southern-Northeastern,-40289.06249999988,-55638.82702825405,-24939.297971745724,8.028089304445984e-11
Region,Western-Northeastern,-49061.76470588223,-67194.88226268545,-30928.64714907902,2.1121548954283753e-11
Region,Western-Southern,-8772.70220588235,-26220.795476196578,8675.391064431878,0.6394087134565094
