"School_Name","Region","Salary_Type","Salary"
"Stanford University","California","Starting_Median_Salary",70400
"California Institute of Technology (CIT)","California","Starting_Median_Salary",75500
"Harvey Mudd College","California","Starting_Median_Salary",71800
"University of California, Berkeley","California","Starting_Median_Salary",59900
"Occidental College","California","Starting_Median_Salary",51900
"Cal Poly San Luis Obispo","California","Starting_Median_Salary",57200
"University of California at Los Angeles (UCLA)","California","Starting_Median_Salary",52600
"University of California, San Diego (UCSD)","California","Starting_Median_Salary",51100
"Pomona College","California","Starting_Median_Salary",48600
"University of Southern California (USC)","California","Starting_Median_Salary",54800
"University of California, Davis","California","Starting_Median_Salary",52300
"University of California, Irvine (UCI)","California","Starting_Median_Salary",48300
"San Jose State University (SJSU)","California","Starting_Median_Salary",53500
"University of California, Santa Barbara (UCSB)","California","Starting_Median_Salary",50500
"California State University (CSU), Chico","California","Starting_Median_Salary",47400
"California State University, Fullerton (CSUF)","California","Starting_Median_Salary",45700
"San Francisco State University (SFSU)","California","Starting_Median_Salary",47300
"San Diego State University (SDSU)","California","Starting_Median_Salary",46200
"California State University, Long Beach (CSULB)","California","Starting_Median_Salary",45100
"California State University, East Bay (CSUEB)","California","Starting_Median_Salary",49200
"University of California, Santa Cruz (UCSC)","California","Starting_Median_Salary",44700
"California State University, Sacramento (CSUS)","California","Starting_Median_Salary",47800
"University of California, Riverside (UCR)","California","Starting_Median_Salary",46800
"California State University, Northridge (CSUN)","California","Starting_Median_Salary",45500
"California State University, Dominguez Hills (CSUDH)","California","Starting_Median_Salary",42700
"California State University (CSU), Stanislaus","California","Starting_Median_Salary",38000
"Humboldt State University","California","Starting_Median_Salary",42600
"Thomas Aquinas College","California","Starting_Median_Salary",41500
"Colorado School of Mines","Western","Starting_Median_Salary",58100
"University of Colorado - Boulder (UCB)","Western","Starting_Median_Salary",47100
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Western","Starting_Median_Salary",51000
"Brigham Young University (BYU)","Western","Starting_Median_Salary",49400
"University of Arizona","Western","Starting_Median_Salary",47500
"University of Washington (UW)","Western","Starting_Median_Salary",48800
"Washington State University (WSU)","Western","Starting_Median_Salary",45300
"University of Colorado - Denver","Western","Starting_Median_Salary",46100
"Arizona State University (ASU)","Western","Starting_Median_Salary",47400
"Oregon State University (OSU)","Western","Starting_Median_Salary",45100
"University of Utah","Western","Starting_Median_Salary",45400
"University of Nevada, Reno (UNR)","Western","Starting_Median_Salary",46500
"Seattle University","Western","Starting_Median_Salary",48300
"University of Idaho","Western","Starting_Median_Salary",44900
"University of New Mexico (UNM)","Western","Starting_Median_Salary",41600
"University of Puget Sound","Western","Starting_Median_Salary",46600
"Colorado College (CC)","Western","Starting_Median_Salary",38500
"Reed College","Western","Starting_Median_Salary",40500
"Whitman College","Western","Starting_Median_Salary",43500
"New Mexico State University","Western","Starting_Median_Salary",44300
"Colorado State University (CSU)","Western","Starting_Median_Salary",44800
"University of Wyoming (UW)","Western","Starting_Median_Salary",44500
"Utah State University","Western","Starting_Median_Salary",43800
"University of Oregon","Western","Starting_Median_Salary",42200
"Montana State University - Bozeman","Western","Starting_Median_Salary",46600
"Gonzaga University","Western","Starting_Median_Salary",44900
"University of Hawaii","Western","Starting_Median_Salary",43800
"Western Washington University","Western","Starting_Median_Salary",42700
"Regis University","Western","Starting_Median_Salary",48300
"Idaho State University","Western","Starting_Median_Salary",44900
"University of Alaska, Anchorage","Western","Starting_Median_Salary",45900
"Lewis & Clark College","Western","Starting_Median_Salary",38900
"University of Montana","Western","Starting_Median_Salary",37300
"University of Nevada, Las Vegas (UNLV)","Western","Starting_Median_Salary",45200
"Portland State University (PSU)","Western","Starting_Median_Salary",42600
"Eastern Washington University","Western","Starting_Median_Salary",38600
"Fort Lewis College","Western","Starting_Median_Salary",42000
"Boise State University (BSU)","Western","Starting_Median_Salary",40800
"Utah Valley State College","Western","Starting_Median_Salary",42400
"Evergreen State College","Western","Starting_Median_Salary",39500
"Southern Utah University","Western","Starting_Median_Salary",41900
"Montana State University - Billings","Western","Starting_Median_Salary",37900
"University of Notre Dame","Midwestern","Starting_Median_Salary",56300
"University Of Chicago","Midwestern","Starting_Median_Salary",53400
"Carleton College","Midwestern","Starting_Median_Salary",47500
"Illinois Institute of Technology (IIT)","Midwestern","Starting_Median_Salary",56000
"Case Western Reserve University","Midwestern","Starting_Median_Salary",56200
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","Starting_Median_Salary",52900
"Northwestern University","Midwestern","Starting_Median_Salary",52700
"University of Missouri - Rolla (UMR)","Midwestern","Starting_Median_Salary",57100
"South Dakota School of Mines & Technology","Midwestern","Starting_Median_Salary",55800
"University of Michigan","Midwestern","Starting_Median_Salary",52700
"Purdue University","Midwestern","Starting_Median_Salary",51400
"Marquette University","Midwestern","Starting_Median_Salary",48500
"DePauw University","Midwestern","Starting_Median_Salary",41400
"University of Wisconsin (UW) - Madison","Midwestern","Starting_Median_Salary",48900
"Bradley University","Midwestern","Starting_Median_Salary",47000
"St. Olaf College","Midwestern","Starting_Median_Salary",45300
"Michigan State University (MSU)","Midwestern","Starting_Median_Salary",46300
"DePaul University","Midwestern","Starting_Median_Salary",46400
"Iowa State University","Midwestern","Starting_Median_Salary",45400
"University of Minnesota","Midwestern","Starting_Median_Salary",46200
