"School_Name","Region","Salary_Type","Salary"
"Indiana University (IU), Bloomington","Midwestern","Starting_Median_Salary",46300
"University of Iowa (UI)","Midwestern","Starting_Median_Salary",44700
"Ohio State University (OSU)","Midwestern","Starting_Median_Salary",44900
"Denison University","Midwestern","Starting_Median_Salary",42000
"University of Illinois at Chicago","Midwestern","Starting_Median_Salary",47500
"Oberlin College","Midwestern","Starting_Median_Salary",43400
"University of Kansas","Midwestern","Starting_Median_Salary",42400
"University of Missouri - Columbia","Midwestern","Starting_Median_Salary",41700
"University of Nebraska","Midwestern","Starting_Median_Salary",45700
"Northern Illinois University (NIU)","Midwestern","Starting_Median_Salary",43600
"Gustavus Adolphus College","Midwestern","Starting_Median_Salary",44500
"University of North Dakota","Midwestern","Starting_Median_Salary",44000
"Kansas State University (KSU)","Midwestern","Starting_Median_Salary",43300
"University of Wisconsin (UW) - Platteville","Midwestern","Starting_Median_Salary",45800
"Wittenberg University","Midwestern","Starting_Median_Salary",39200
"North Dakota State University (NDSU)","Midwestern","Starting_Median_Salary",45100
"Grinnell College","Midwestern","Starting_Median_Salary",42600
"Wayne State University","Midwestern","Starting_Median_Salary",42800
"University of Toledo","Midwestern","Starting_Median_Salary",43100
"University of Wisconsin (UW) - Whitewater","Midwestern","Starting_Median_Salary",40800
"Minnesota State University - Mankato","Midwestern","Starting_Median_Salary",43300
"University of Wisconsin (UW) - Milwaukee","Midwestern","Starting_Median_Salary",42300
"Western Michigan University (WMU)","Midwestern","Starting_Median_Salary",42300
"South Dakota State University (SDSU)","Midwestern","Starting_Median_Salary",41100
"Ohio University","Midwestern","Starting_Median_Salary",42200
"Illinois State University","Midwestern","Starting_Median_Salary",42000
"Cleveland State University","Midwestern","Starting_Median_Salary",43500
"University of Nebraska at Omaha","Midwestern","Starting_Median_Salary",41500
"Southern Illinois University Carbondale","Midwestern","Starting_Median_Salary",43000
"Eastern Michigan University","Midwestern","Starting_Median_Salary",40300
"Bowling Green State University","Midwestern","Starting_Median_Salary",39800
"St. Cloud State University","Midwestern","Starting_Median_Salary",41800
"University of Wisconsin (UW) - Parkside","Midwestern","Starting_Median_Salary",40700
"University of Akron","Midwestern","Starting_Median_Salary",41100
"Missouri State University (MSU)","Midwestern","Starting_Median_Salary",36100
"University of Wisconsin (UW) - La Crosse","Midwestern","Starting_Median_Salary",42200
"University of Wisconsin (UW) - Stout","Midwestern","Starting_Median_Salary",43600
"Robert Morris College (RMC)","Midwestern","Starting_Median_Salary",38500
"University of Missouri - St. Louis (UMSL)","Midwestern","Starting_Median_Salary",41400
"University of Wisconsin (UW) - Oshkosh","Midwestern","Starting_Median_Salary",39300
"University of Missouri - Kansas City (UMKC)","Midwestern","Starting_Median_Salary",38900
"University of Wisconsin (UW) - Eau Claire","Midwestern","Starting_Median_Salary",41400
"Ball State University (BSU)","Midwestern","Starting_Median_Salary",39100
"Park University","Midwestern","Starting_Median_Salary",44300
"University of Wisconsin (UW) - Stevens Point","Midwestern","Starting_Median_Salary",39800
"Kent State University","Midwestern","Starting_Median_Salary",38700
"University of Wisconsin (UW) - Green Bay","Midwestern","Starting_Median_Salary",35800
"Indiana Wesleyan University (IWU)","Midwestern","Starting_Median_Salary",39800
"Pittsburg State University","Midwestern","Starting_Median_Salary",40400
"Davenport University","Midwestern","Starting_Median_Salary",39700
"Black Hills State University","Midwestern","Starting_Median_Salary",35300
"Rice University","Southern","Starting_Median_Salary",64000
"Georgetown University","Southern","Starting_Median_Salary",55000
"Duke University","Southern","Starting_Median_Salary",58900
"Georgia Institute of Technology","Southern","Starting_Median_Salary",58300
"Washington and Lee University","Southern","Starting_Median_Salary",53600
"Vanderbilt University","Southern","Starting_Median_Salary",51200
"Davidson College","Southern","Starting_Median_Salary",46100
"University of Virginia (UVA)","Southern","Starting_Median_Salary",52700
"George Washington University (GWU)","Southern","Starting_Median_Salary",47000
"Texas A&M University","Southern","Starting_Median_Salary",49700
"Tulane University","Southern","Starting_Median_Salary",49100
"Virginia Polytechnic Institute and State University (Virginia Tech)","Southern","Starting_Median_Salary",53500
"University of Maryland, College Park","Southern","Starting_Median_Salary",52000
"University of Richmond","Southern","Starting_Median_Salary",48600
"University of Texas (UT) - Austin","Southern","Starting_Median_Salary",49700
"Emory University","Southern","Starting_Median_Salary",52000
"American University, Washington D.C.","Southern","Starting_Median_Salary",45300
"University of Tulsa","Southern","Starting_Median_Salary",42400
"Baylor University","Southern","Starting_Median_Salary",48300
"University of Florida (UF)","Southern","Starting_Median_Salary",47100
"Louisiana State University (LSU)","Southern","Starting_Median_Salary",46900
"George Mason University","Southern","Starting_Median_Salary",47800
"Clemson University","Southern","Starting_Median_Salary",48400
"University of Georgia (UGA)","Southern","Starting_Median_Salary",44100
"Auburn University","Southern","Starting_Median_Salary",45400
"University of Delaware","Southern","Starting_Median_Salary",45900
"Randolph-Macon College","Southern","Starting_Median_Salary",42600
"North Carolina State University (NCSU)","Southern","Starting_Median_Salary",47200
"University of Oklahoma","Southern","Starting_Median_Salary",44700
"University of Arkansas","Southern","Starting_Median_Salary",44100
"University of Alabama at Huntsville (UAH)","Southern","Starting_Median_Salary",43100
"Howard University","Southern","Starting_Median_Salary",46900
"University of North Carolina at Chapel Hill (UNCH)","Southern","Starting_Median_Salary",42900
"University of Alabama, Tuscaloosa","Southern","Starting_Median_Salary",41300
"University of Texas at Arlington (UTA)","Southern","Starting_Median_Salary",45400
"Oklahoma State University","Southern","Starting_Median_Salary",42800
"Tennessee Technological University","Southern","Starting_Median_Salary",46200
"University of Houston (UH)","Southern","Starting_Median_Salary",46000
"University of Mississippi","Southern","Starting_Median_Salary",41400
"Lamar University","Southern","Starting_Median_Salary",46500
"Mississippi State University (MSU)","Southern","Starting_Median_Salary",44500
"University of Kentucky (UK)","Southern","Starting_Median_Salary",42800
"Texas Christian University (TCU)","Southern","Starting_Median_Salary",45100
"West Virginia University (WVU)","Southern","Starting_Median_Salary",43100
"University of Maryland Baltimore County (UMBC)","Southern","Starting_Median_Salary",47000
"University of Louisiana (UL) at Lafayette","Southern","Starting_Median_Salary",41100
"Florida International University (FIU)","Southern","Starting_Median_Salary",43200
"University of Tennessee","Southern","Starting_Median_Salary",43800
"University of Arkansas - Monticello (UAM)","Southern","Starting_Median_Salary",39200
"University of North Carolina at Charlotte (UNCC)","Southern","Starting_Median_Salary",43100
"Georgia State University","Southern","Starting_Median_Salary",41800
"LeTourneau University","Southern","Starting_Median_Salary",49500
"Florida State University (FSU)","Southern","Starting_Median_Salary",42100
"University of Texas at El Paso (UTEP)","Southern","Starting_Median_Salary",43400
"University of Central Florida (UCF)","Southern","Starting_Median_Salary",42600
"University of South Carolina","Southern","Starting_Median_Salary",40000
"Florida Atlantic University (FAU)","Southern","Starting_Median_Salary",42600
"University of South Florida (USF)","Southern","Starting_Median_Salary",41100
"University of Texas at San Antonio (UTSA)","Southern","Starting_Median_Salary",42500
"University of Alabama at Birmingham (UAB)","Southern","Starting_Median_Salary",39200
"University of Memphis (U of M)","Southern","Starting_Median_Salary",41400
"Appalachian State University","Southern","Starting_Median_Salary",40400
"Virginia Commonwealth University (VCU)","Southern","Starting_Median_Salary",42000
"East Carolina University (ECU)","Southern","Starting_Median_Salary",40200
"Western Carolina University","Southern","Starting_Median_Salary",36900
"Jacksonville University","Southern","Starting_Median_Salary",46700
"University of North Carolina at Wilmington (UNCW)","Southern","Starting_Median_Salary",37500
"Oklahoma City University","Southern","Starting_Median_Salary",40000
"Arkansas State University (ASU)","Southern","Starting_Median_Salary",38700
"Tarleton State University (TSU)","Southern","Starting_Median_Salary",40800
"Morehead State University","Southern","Starting_Median_Salary",34800
"Mississippi College","Southern","Starting_Median_Salary",35400
"Dallas Baptist University","Southern","Starting_Median_Salary",39400
"Austin Peay State University","Southern","Starting_Median_Salary",37700
"Saint Leo University","Southern","Starting_Median_Salary",40900
"Tusculum College","Southern","Starting_Median_Salary",36900
"Virginia Wesleyan College (VWC)","Southern","Starting_Median_Salary",34600
"Lee University (Cleveland, TN)","Southern","Starting_Median_Salary",34500
"Florida Metropolitan University (FMU)","Southern","Starting_Median_Salary",36600
"Dartmouth College","Northeastern","Starting_Median_Salary",58000
"Princeton University","Northeastern","Starting_Median_Salary",66500
"Massachusetts Institute of Technology (MIT)","Northeastern","Starting_Median_Salary",72200
"Yale University","Northeastern","Starting_Median_Salary",59100
"Harvard University","Northeastern","Starting_Median_Salary",63400
"University of Pennsylvania","Northeastern","Starting_Median_Salary",60900
"Polytechnic University of New York, Brooklyn","Northeastern","Starting_Median_Salary",62400
"Cooper Union","Northeastern","Starting_Median_Salary",62200
"Worcester Polytechnic Institute (WPI)","Northeastern","Starting_Median_Salary",61000
"Carnegie Mellon University (CMU)","Northeastern","Starting_Median_Salary",61800
"Rensselaer Polytechnic Institute (RPI)","Northeastern","Starting_Median_Salary",61100
"Cornell University","Northeastern","Starting_Median_Salary",60300
"Bucknell University","Northeastern","Starting_Median_Salary",54100
"Brown University","Northeastern","Starting_Median_Salary",56200
"Colgate University","Northeastern","Starting_Median_Salary",52800
"Columbia University","Northeastern","Starting_Median_Salary",59400
"Amherst College","Northeastern","Starting_Median_Salary",54500
"Lafayette College","Northeastern","Starting_Median_Salary",53900
"Bowdoin College","Northeastern","Starting_Median_Salary",48100
"College of the Holy Cross","Northeastern","Starting_Median_Salary",50200
"Stevens Institute of Technology","Northeastern","Starting_Median_Salary",60600
"Lehigh University","Northeastern","Starting_Median_Salary",59200
"Swarthmore College","Northeastern","Starting_Median_Salary",49700
"Boston College","Northeastern","Starting_Median_Salary",52700
"Williams College","Northeastern","Starting_Median_Salary",51700
"Villanova University","Northeastern","Starting_Median_Salary",55800
"Fordham University","Northeastern","Starting_Median_Salary",47800
"Wesleyan University (Middletown, Connecticut)","Northeastern","Starting_Median_Salary",46500
"Wentworth Institute of Technology","Northeastern","Starting_Median_Salary",53000
"Bates College","Northeastern","Starting_Median_Salary",47300
"Binghamton University","Northeastern","Starting_Median_Salary",53600
"Union College","Northeastern","Starting_Median_Salary",47200
"New York University (NYU)","Northeastern","Starting_Median_Salary",50300
"Vassar College","Northeastern","Starting_Median_Salary",46000
"Middlebury College","Northeastern","Starting_Median_Salary",47700
"Mount Holyoke College","Northeastern","Starting_Median_Salary",42400
"Boston University","Northeastern","Starting_Median_Salary",49000
"Drexel University","Northeastern","Starting_Median_Salary",53400
"St. John's University, New York","Northeastern","Starting_Median_Salary",48000
"Long Island University","Northeastern","Starting_Median_Salary",47300
"Stony Brook University","Northeastern","Starting_Median_Salary",49500
"Franklin and Marshall College","Northeastern","Starting_Median_Salary",49100
"Hofstra University","Northeastern","Starting_Median_Salary",46800
"State University of New York (SUNY) at Albany","Northeastern","Starting_Median_Salary",44500
"Rutgers University","Northeastern","Starting_Median_Salary",50300
"Pratt Institute","Northeastern","Starting_Median_Salary",43800
"Pace University","Northeastern","Starting_Median_Salary",53200
"Seton Hall University","Northeastern","Starting_Median_Salary",48900
"Rider University","Northeastern","Starting_Median_Salary",43600
"University of Connecticut (UConn)","Northeastern","Starting_Median_Salary",48000
"Providence College","Northeastern","Starting_Median_Salary",48000
"University of Massachusetts (UMass) - Amherst","Northeastern","Starting_Median_Salary",46600
"Ithaca College","Northeastern","Starting_Median_Salary",42700
"University of Massachusetts (UMass) - Lowell","Northeastern","Starting_Median_Salary",45400
"Northeastern University","Northeastern","Starting_Median_Salary",50500
"Syracuse University","Northeastern","Starting_Median_Salary",45700
"Colby College","Northeastern","Starting_Median_Salary",46400
"Gettysburg College","Northeastern","Starting_Median_Salary",44700
"Pennsylvania State University (PSU)","Northeastern","Starting_Median_Salary",49900
"University of Rhode Island (URI)","Northeastern","Starting_Median_Salary",43900
"Siena College","Northeastern","Starting_Median_Salary",45500
"La Salle University (Philadelphia)","Northeastern","Starting_Median_Salary",43400
"Rochester Institute of Technology (RIT)","Northeastern","Starting_Median_Salary",48900
"Duquesne University","Northeastern","Starting_Median_Salary",40700
"State University of New York (SUNY) at Farmingdale","Northeastern","Starting_Median_Salary",47300
"Smith College","Northeastern","Starting_Median_Salary",44000
"Hamilton College","Northeastern","Starting_Median_Salary",49200
"Wellesley College","Northeastern","Starting_Median_Salary",42800
"Widener University","Northeastern","Starting_Median_Salary",52900
"University of New Haven","Northeastern","Starting_Median_Salary",44400
"Dowling College","Northeastern","Starting_Median_Salary",41100
"University of Vermont (UVM)","Northeastern","Starting_Median_Salary",44800
"State University of New York (SUNY) at Buffalo","Northeastern","Starting_Median_Salary",46200
"State University of New York (SUNY) at Geneseo","Northeastern","Starting_Median_Salary",42300
"Fashion Institute of Technology","Northeastern","Starting_Median_Salary",42800
"Philadelphia University","Northeastern","Starting_Median_Salary",45100
"Ursinus College","Northeastern","Starting_Median_Salary",42100
"Adelphi University","Northeastern","Starting_Median_Salary",40600
"Juniata College","Northeastern","Starting_Median_Salary",41800
"Fairleigh Dickinson University","Northeastern","Starting_Median_Salary",45700
"University of New Hampshire (UNH)","Northeastern","Starting_Median_Salary",41800
"University of Massachusetts (UMass) - Boston","Northeastern","Starting_Median_Salary",45600
"State University of New York (SUNY) at Oswego","Northeastern","Starting_Median_Salary",38000
"University of Massachusetts (UMass) - Dartmouth","Northeastern","Starting_Median_Salary",43200
"State University of New York (SUNY) at Oneonta","Northeastern","Starting_Median_Salary",37500
"Quinnipiac University","Northeastern","Starting_Median_Salary",43000
"State University of New York (SUNY) at Plattsburgh","Northeastern","Starting_Median_Salary",40800
"Sacred Heart University","Northeastern","Starting_Median_Salary",46000
"Skidmore College","Northeastern","Starting_Median_Salary",41600
"Moravian College","Northeastern","Starting_Median_Salary",42500
"Penn State - Harrisburg","Northeastern","Starting_Median_Salary",45700
"Suffolk University","Northeastern","Starting_Median_Salary",42100
"Fitchburg State College","Northeastern","Starting_Median_Salary",42400
"Roger Williams University","Northeastern","Starting_Median_Salary",42000
"University Of Maine","Northeastern","Starting_Median_Salary",41200
"State University of New York (SUNY) at Potsdam","Northeastern","Starting_Median_Salary",38000
"Niagara University","Northeastern","Starting_Median_Salary",36900
"State University of New York (SUNY) at Fredonia","Northeastern","Starting_Median_Salary",37800
"University of Southern Maine","Northeastern","Starting_Median_Salary",39400
"Mercy College","Northeastern","Starting_Median_Salary",43700
"Stanford University","California","Mid_Career_Median_Salary",129000
"California Institute of Technology (CIT)","California","Mid_Career_Median_Salary",123000
"Harvey Mudd College","California","Mid_Career_Median_Salary",122000
"University of California, Berkeley","California","Mid_Career_Median_Salary",112000
"Occidental College","California","Mid_Career_Median_Salary",105000
"Cal Poly San Luis Obispo","California","Mid_Career_Median_Salary",101000
"University of California at Los Angeles (UCLA)","California","Mid_Career_Median_Salary",101000
"University of California, San Diego (UCSD)","California","Mid_Career_Median_Salary",101000
"Pomona College","California","Mid_Career_Median_Salary",101000
"University of Southern California (USC)","California","Mid_Career_Median_Salary",99600
"University of California, Davis","California","Mid_Career_Median_Salary",99600
"University of California, Irvine (UCI)","California","Mid_Career_Median_Salary",96700
"San Jose State University (SJSU)","California","Mid_Career_Median_Salary",95600
"University of California, Santa Barbara (UCSB)","California","Mid_Career_Median_Salary",95000
"California State University (CSU), Chico","California","Mid_Career_Median_Salary",88100
"California State University, Fullerton (CSUF)","California","Mid_Career_Median_Salary",87000
"San Francisco State University (SFSU)","California","Mid_Career_Median_Salary",86400
"San Diego State University (SDSU)","California","Mid_Career_Median_Salary",85200
"California State University, Long Beach (CSULB)","California","Mid_Career_Median_Salary",84700
"California State University, East Bay (CSUEB)","California","Mid_Career_Median_Salary",84300
"University of California, Santa Cruz (UCSC)","California","Mid_Career_Median_Salary",84100
"California State University, Sacramento (CSUS)","California","Mid_Career_Median_Salary",82400
"University of California, Riverside (UCR)","California","Mid_Career_Median_Salary",81300
"California State University, Northridge (CSUN)","California","Mid_Career_Median_Salary",80400
"California State University, Dominguez Hills (CSUDH)","California","Mid_Career_Median_Salary",72100
"California State University (CSU), Stanislaus","California","Mid_Career_Median_Salary",71400
"Humboldt State University","California","Mid_Career_Median_Salary",71300
"Thomas Aquinas College","California","Mid_Career_Median_Salary",67500
"Colorado School of Mines","Western","Mid_Career_Median_Salary",106000
"University of Colorado - Boulder (UCB)","Western","Mid_Career_Median_Salary",97600
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Western","Mid_Career_Median_Salary",93400
"Brigham Young University (BYU)","Western","Mid_Career_Median_Salary",88600
"University of Arizona","Western","Mid_Career_Median_Salary",86100
"University of Washington (UW)","Western","Mid_Career_Median_Salary",85300
"Washington State University (WSU)","Western","Mid_Career_Median_Salary",84700
"University of Colorado - Denver","Western","Mid_Career_Median_Salary",84400
"Arizona State University (ASU)","Western","Mid_Career_Median_Salary",84100
"Oregon State University (OSU)","Western","Mid_Career_Median_Salary",83300
"University of Utah","Western","Mid_Career_Median_Salary",83200
"University of Nevada, Reno (UNR)","Western","Mid_Career_Median_Salary",82900
"Seattle University","Western","Mid_Career_Median_Salary",82800
"University of Idaho","Western","Mid_Career_Median_Salary",82000
"University of New Mexico (UNM)","Western","Mid_Career_Median_Salary",81600
"University of Puget Sound","Western","Mid_Career_Median_Salary",81500
"Colorado College (CC)","Western","Mid_Career_Median_Salary",81400
"Reed College","Western","Mid_Career_Median_Salary",81100
"Whitman College","Western","Mid_Career_Median_Salary",80100
"New Mexico State University","Western","Mid_Career_Median_Salary",79500
"Colorado State University (CSU)","Western","Mid_Career_Median_Salary",79000
"University of Wyoming (UW)","Western","Mid_Career_Median_Salary",78700
"Utah State University","Western","Mid_Career_Median_Salary",78700
"University of Oregon","Western","Mid_Career_Median_Salary",78400
"Montana State University - Bozeman","Western","Mid_Career_Median_Salary",77500
"Gonzaga University","Western","Mid_Career_Median_Salary",76000
"University of Hawaii","Western","Mid_Career_Median_Salary",76000
"Western Washington University","Western","Mid_Career_Median_Salary",75400
"Regis University","Western","Mid_Career_Median_Salary",73800
"Idaho State University","Western","Mid_Career_Median_Salary",73400
"University of Alaska, Anchorage","Western","Mid_Career_Median_Salary",72600
"Lewis & Clark College","Western","Mid_Career_Median_Salary",72600
"University of Montana","Western","Mid_Career_Median_Salary",71900
"University of Nevada, Las Vegas (UNLV)","Western","Mid_Career_Median_Salary",71600
"Portland State University (PSU)","Western","Mid_Career_Median_Salary",70900
"Eastern Washington University","Western","Mid_Career_Median_Salary",70900
"Fort Lewis College","Western","Mid_Career_Median_Salary",69800
"Boise State University (BSU)","Western","Mid_Career_Median_Salary",69500
"Utah Valley State College","Western","Mid_Career_Median_Salary",67100
"Evergreen State College","Western","Mid_Career_Median_Salary",63900
"Southern Utah University","Western","Mid_Career_Median_Salary",56500
"Montana State University - Billings","Western","Mid_Career_Median_Salary",50600
"University of Notre Dame","Midwestern","Mid_Career_Median_Salary",116000
"University Of Chicago","Midwestern","Mid_Career_Median_Salary",113000
"Carleton College","Midwestern","Mid_Career_Median_Salary",103000
"Illinois Institute of Technology (IIT)","Midwestern","Mid_Career_Median_Salary",97800
"Case Western Reserve University","Midwestern","Mid_Career_Median_Salary",96500
"University of Illinois at Urbana-Champaign (UIUC)","Midwestern","Mid_Career_Median_Salary",96100
"Northwestern University","Midwestern","Mid_Career_Median_Salary",95900
"University of Missouri - Rolla (UMR)","Midwestern","Mid_Career_Median_Salary",95800
"South Dakota School of Mines & Technology","Midwestern","Mid_Career_Median_Salary",93400
"University of Michigan","Midwestern","Mid_Career_Median_Salary",93000
"Purdue University","Midwestern","Mid_Career_Median_Salary",90500
"Marquette University","Midwestern","Mid_Career_Median_Salary",88400
"DePauw University","Midwestern","Mid_Career_Median_Salary",88200
"University of Wisconsin (UW) - Madison","Midwestern","Mid_Career_Median_Salary",87800
"Bradley University","Midwestern","Mid_Career_Median_Salary",87300
"St. Olaf College","Midwestern","Mid_Career_Median_Salary",86200
"Michigan State University (MSU)","Midwestern","Mid_Career_Median_Salary",85300
"DePaul University","Midwestern","Mid_Career_Median_Salary",84800
"Iowa State University","Midwestern","Mid_Career_Median_Salary",84600
"University of Minnesota","Midwestern","Mid_Career_Median_Salary",84200
"Indiana University (IU), Bloomington","Midwestern","Mid_Career_Median_Salary",84000
"University of Iowa (UI)","Midwestern","Mid_Career_Median_Salary",83900
"Ohio State University (OSU)","Midwestern","Mid_Career_Median_Salary",83700
"Denison University","Midwestern","Mid_Career_Median_Salary",83500
"University of Illinois at Chicago","Midwestern","Mid_Career_Median_Salary",81700
"Oberlin College","Midwestern","Mid_Career_Median_Salary",81600
"University of Kansas","Midwestern","Mid_Career_Median_Salary",81600
"University of Missouri - Columbia","Midwestern","Mid_Career_Median_Salary",81000
"University of Nebraska","Midwestern","Mid_Career_Median_Salary",80900
"Northern Illinois University (NIU)","Midwestern","Mid_Career_Median_Salary",80800
"Gustavus Adolphus College","Midwestern","Mid_Career_Median_Salary",80600
"University of North Dakota","Midwestern","Mid_Career_Median_Salary",80600
"Kansas State University (KSU)","Midwestern","Mid_Career_Median_Salary",79000
"University of Wisconsin (UW) - Platteville","Midwestern","Mid_Career_Median_Salary",78500
"Wittenberg University","Midwestern","Mid_Career_Median_Salary",78200
"North Dakota State University (NDSU)","Midwestern","Mid_Career_Median_Salary",77800
"Grinnell College","Midwestern","Mid_Career_Median_Salary",76600
"Wayne State University","Midwestern","Mid_Career_Median_Salary",76100
"University of Toledo","Midwestern","Mid_Career_Median_Salary",75900
"University of Wisconsin (UW) - Whitewater","Midwestern","Mid_Career_Median_Salary",75500
"Minnesota State University - Mankato","Midwestern","Mid_Career_Median_Salary",74700
"University of Wisconsin (UW) - Milwaukee","Midwestern","Mid_Career_Median_Salary",74600
"Western Michigan University (WMU)","Midwestern","Mid_Career_Median_Salary",73800
"South Dakota State University (SDSU)","Midwestern","Mid_Career_Median_Salary",73500
"Ohio University","Midwestern","Mid_Career_Median_Salary",73400
"Illinois State University","Midwestern","Mid_Career_Median_Salary",73400
"Cleveland State University","Midwestern","Mid_Career_Median_Salary",73100
"University of Nebraska at Omaha","Midwestern","Mid_Career_Median_Salary",72600
"Southern Illinois University Carbondale","Midwestern","Mid_Career_Median_Salary",72500
"Eastern Michigan University","Midwestern","Mid_Career_Median_Salary",72100
"Bowling Green State University","Midwestern","Mid_Career_Median_Salary",72100
"St. Cloud State University","Midwestern","Mid_Career_Median_Salary",71400
"University of Wisconsin (UW) - Parkside","Midwestern","Mid_Career_Median_Salary",71400
"University of Akron","Midwestern","Mid_Career_Median_Salary",70300
"Missouri State University (MSU)","Midwestern","Mid_Career_Median_Salary",69500
