"Undergraduate_Major","Salary_Type","Salary"
"Accounting","Starting_Median_Salary",46000
"Aerospace Engineering","Starting_Median_Salary",57700
"Agriculture","Starting_Median_Salary",42600
"Anthropology","Starting_Median_Salary",36800
"Architecture","Starting_Median_Salary",41600
"Art History","Starting_Median_Salary",35800
"Biology","Starting_Median_Salary",38800
"Business Management","Starting_Median_Salary",43000
"Chemical Engineering","Starting_Median_Salary",63200
"Chemistry","Starting_Median_Salary",42600
"Civil Engineering","Starting_Median_Salary",53900
"Communications","Starting_Median_Salary",38100
"Computer Engineering","Starting_Median_Salary",61400
"Computer Science","Starting_Median_Salary",55900
"Construction","Starting_Median_Salary",53700
"Criminal Justice","Starting_Median_Salary",35000
"Drama","Starting_Median_Salary",35900
"Economics","Starting_Median_Salary",50100
"Education","Starting_Median_Salary",34900
"Electrical Engineering","Starting_Median_Salary",60900
"English","Starting_Median_Salary",38000
"Film","Starting_Median_Salary",37900
"Finance","Starting_Median_Salary",47900
"Forestry","Starting_Median_Salary",39100
"Geography","Starting_Median_Salary",41200
"Geology","Starting_Median_Salary",43500
"Graphic Design","Starting_Median_Salary",35700
"Health Care Administration","Starting_Median_Salary",38800
"History","Starting_Median_Salary",39200
"Hospitality & Tourism","Starting_Median_Salary",37800
"Industrial Engineering","Starting_Median_Salary",57700
"Information Technology (IT)","Starting_Median_Salary",49100
"Interior Design","Starting_Median_Salary",36100
"International Relations","Starting_Median_Salary",40900
"Journalism","Starting_Median_Salary",35600
"Management Information Systems (MIS)","Starting_Median_Salary",49200
"Marketing","Starting_Median_Salary",40800
"Math","Starting_Median_Salary",45400
"Mechanical Engineering","Starting_Median_Salary",57900
"Music","Starting_Median_Salary",35900
"Nursing","Starting_Median_Salary",54200
"Nutrition","Starting_Median_Salary",39900
"Philosophy","Starting_Median_Salary",39900
"Physician Assistant","Starting_Median_Salary",74300
"Physics","Starting_Median_Salary",50300
"Political Science","Starting_Median_Salary",40800
"Psychology","Starting_Median_Salary",35900
"Religion","Starting_Median_Salary",34100
"Sociology","Starting_Median_Salary",36500
"Spanish","Starting_Median_Salary",34000
"Accounting","Mid_Career_Median_Salary",77100
"Aerospace Engineering","Mid_Career_Median_Salary",101000
"Agriculture","Mid_Career_Median_Salary",71900
"Anthropology","Mid_Career_Median_Salary",61500
"Architecture","Mid_Career_Median_Salary",76800
