"School_Name","School_Type","Salary_Type","Salary"
"Massachusetts Institute of Technology (MIT)","Engineering","Starting_Median_Salary",72200
"California Institute of Technology (CIT)","Engineering","Starting_Median_Salary",75500
"Harvey Mudd College","Engineering","Starting_Median_Salary",71800
"Polytechnic University of New York, Brooklyn","Engineering","Starting_Median_Salary",62400
"Cooper Union","Engineering","Starting_Median_Salary",62200
"Worcester Polytechnic Institute (WPI)","Engineering","Starting_Median_Salary",61000
"Carnegie Mellon University (CMU)","Engineering","Starting_Median_Salary",61800
"Rensselaer Polytechnic Institute (RPI)","Engineering","Starting_Median_Salary",61100
"Georgia Institute of Technology","Engineering","Starting_Median_Salary",58300
"Colorado School of Mines","Engineering","Starting_Median_Salary",58100
"Stevens Institute of Technology","Engineering","Starting_Median_Salary",60600
"Illinois Institute of Technology (IIT)","Engineering","Starting_Median_Salary",56000
"Wentworth Institute of Technology","Engineering","Starting_Median_Salary",53000
"Virginia Polytechnic Institute and State University (Virginia Tech)","Engineering","Starting_Median_Salary",53500
"South Dakota School of Mines & Technology","Engineering","Starting_Median_Salary",55800
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Engineering","Starting_Median_Salary",51000
"Rochester Institute of Technology (RIT)","Engineering","Starting_Median_Salary",48900
"Embry-Riddle Aeronautical University (ERAU)","Engineering","Starting_Median_Salary",52700
"Tennessee Technological University","Engineering","Starting_Median_Salary",46200
"University of Illinois at Urbana-Champaign (UIUC)","Party","Starting_Median_Salary",52900
"University of Maryland, College Park","Party","Starting_Median_Salary",52000
"University of California, Santa Barbara (UCSB)","Party","Starting_Median_Salary",50500
"University of Texas (UT) - Austin","Party","Starting_Median_Salary",49700
"State University of New York (SUNY) at Albany","Party","Starting_Median_Salary",44500
"University of Florida (UF)","Party","Starting_Median_Salary",47100
"Louisiana State University (LSU)","Party","Starting_Median_Salary",46900
"University of Georgia (UGA)","Party","Starting_Median_Salary",44100
"Pennsylvania State University (PSU)","Party","Starting_Median_Salary",49900
"Arizona State University (ASU)","Party","Starting_Median_Salary",47400
"Indiana University (IU), Bloomington","Party","Starting_Median_Salary",46300
"University of Iowa (UI)","Party","Starting_Median_Salary",44700
"Randolph-Macon College","Party","Starting_Median_Salary",42600
"University of Alabama, Tuscaloosa","Party","Starting_Median_Salary",41300
"University of Mississippi","Party","Starting_Median_Salary",41400
"University of New Hampshire (UNH)","Party","Starting_Median_Salary",41800
"West Virginia University (WVU)","Party","Starting_Median_Salary",43100
"University of Tennessee","Party","Starting_Median_Salary",43800
"Ohio University","Party","Starting_Median_Salary",42200
"Florida State University (FSU)","Party","Starting_Median_Salary",42100
"Bucknell University","Liberal Arts","Starting_Median_Salary",54100
"Colgate University","Liberal Arts","Starting_Median_Salary",52800
"Amherst College","Liberal Arts","Starting_Median_Salary",54500
"Lafayette College","Liberal Arts","Starting_Median_Salary",53900
"Bowdoin College","Liberal Arts","Starting_Median_Salary",48100
"College of the Holy Cross","Liberal Arts","Starting_Median_Salary",50200
"Occidental College","Liberal Arts","Starting_Median_Salary",51900
"Washington and Lee University","Liberal Arts","Starting_Median_Salary",53600
"Swarthmore College","Liberal Arts","Starting_Median_Salary",49700
"Davidson College","Liberal Arts","Starting_Median_Salary",46100
"Carleton College","Liberal Arts","Starting_Median_Salary",47500
"Williams College","Liberal Arts","Starting_Median_Salary",51700
"Pomona College","Liberal Arts","Starting_Median_Salary",48600
"Wesleyan University (Middletown, Connecticut)","Liberal Arts","Starting_Median_Salary",46500
"Bates College","Liberal Arts","Starting_Median_Salary",47300
"Union College","Liberal Arts","Starting_Median_Salary",47200
"University of Richmond","Liberal Arts","Starting_Median_Salary",48600
"Vassar College","Liberal Arts","Starting_Median_Salary",46000
"Middlebury College","Liberal Arts","Starting_Median_Salary",47700
"Mount Holyoke College","Liberal Arts","Starting_Median_Salary",42400
"Franklin and Marshall College","Liberal Arts","Starting_Median_Salary",49100
"DePauw University","Liberal Arts","Starting_Median_Salary",41400
"St. Olaf College","Liberal Arts","Starting_Median_Salary",45300
"Colby College","Liberal Arts","Starting_Median_Salary",46400
"Gettysburg College","Liberal Arts","Starting_Median_Salary",44700
"Siena College","Liberal Arts","Starting_Median_Salary",45500
"Smith College","Liberal Arts","Starting_Median_Salary",44000
"Hamilton College","Liberal Arts","Starting_Median_Salary",49200
"Randolph-Macon College","Liberal Arts","Starting_Median_Salary",42600
"Wellesley College","Liberal Arts","Starting_Median_Salary",42800
"Denison University","Liberal Arts","Starting_Median_Salary",42000
"Oberlin College","Liberal Arts","Starting_Median_Salary",43400
"University of Puget Sound","Liberal Arts","Starting_Median_Salary",46600
"Colorado College (CC)","Liberal Arts","Starting_Median_Salary",38500
"Reed College","Liberal Arts","Starting_Median_Salary",40500
"Gustavus Adolphus College","Liberal Arts","Starting_Median_Salary",44500
"Whitman College","Liberal Arts","Starting_Median_Salary",43500
"Ursinus College","Liberal Arts","Starting_Median_Salary",42100
"Juniata College","Liberal Arts","Starting_Median_Salary",41800
"Wittenberg University","Liberal Arts","Starting_Median_Salary",39200
"Grinnell College","Liberal Arts","Starting_Median_Salary",42600
"Skidmore College","Liberal Arts","Starting_Median_Salary",41600
"Moravian College","Liberal Arts","Starting_Median_Salary",42500
"Lewis & Clark College","Liberal Arts","Starting_Median_Salary",38900
"Fort Lewis College","Liberal Arts","Starting_Median_Salary",42000
"Thomas Aquinas College","Liberal Arts","Starting_Median_Salary",41500
"Evergreen State College","Liberal Arts","Starting_Median_Salary",39500
"Dartmouth College","Ivy League","Starting_Median_Salary",58000
"Princeton University","Ivy League","Starting_Median_Salary",66500
"Yale University","Ivy League","Starting_Median_Salary",59100
"Harvard University","Ivy League","Starting_Median_Salary",63400
"University of Pennsylvania","Ivy League","Starting_Median_Salary",60900
"Cornell University","Ivy League","Starting_Median_Salary",60300
"Brown University","Ivy League","Starting_Median_Salary",56200
"Columbia University","Ivy League","Starting_Median_Salary",59400
"University of California, Berkeley","State","Starting_Median_Salary",59900
"University of Virginia (UVA)","State","Starting_Median_Salary",52700
"Cal Poly San Luis Obispo","State","Starting_Median_Salary",57200
"University of California at Los Angeles (UCLA)","State","Starting_Median_Salary",52600
"University of California, San Diego (UCSD)","State","Starting_Median_Salary",51100
"University of California, Davis","State","Starting_Median_Salary",52300
"University of Colorado - Boulder (UCB)","State","Starting_Median_Salary",47100
"University of California, Irvine (UCI)","State","Starting_Median_Salary",48300
"University of Illinois at Urbana-Champaign (UIUC)","State","Starting_Median_Salary",52900
"Texas A&M University","State","Starting_Median_Salary",49700
"Binghamton University","State","Starting_Median_Salary",53600
"University of Missouri - Rolla (UMR)","State","Starting_Median_Salary",57100
"San Jose State University (SJSU)","State","Starting_Median_Salary",53500
"University of Maryland, College Park","State","Starting_Median_Salary",52000
"University of California, Santa Barbara (UCSB)","State","Starting_Median_Salary",50500
"University of Texas (UT) - Austin","State","Starting_Median_Salary",49700
"University of Michigan","State","Starting_Median_Salary",52700
"Stony Brook University","State","Starting_Median_Salary",49500
"State University of New York (SUNY) at Albany","State","Starting_Median_Salary",44500
"Rutgers University","State","Starting_Median_Salary",50300
"Purdue University","State","Starting_Median_Salary",51400
"University of Connecticut (UConn)","State","Starting_Median_Salary",48000
"University of Massachusetts (UMass) - Amherst","State","Starting_Median_Salary",46600
"California State University (CSU), Chico","State","Starting_Median_Salary",47400
"University of Florida (UF)","State","Starting_Median_Salary",47100
"University of Wisconsin (UW) - Madison","State","Starting_Median_Salary",48900
"Louisiana State University (LSU)","State","Starting_Median_Salary",46900
"California State University, Fullerton (CSUF)","State","Starting_Median_Salary",45700
"George Mason University","State","Starting_Median_Salary",47800
