"School_Name","School_Type","Salary_Type","Salary"
"University of Massachusetts (UMass) - Lowell","State","Starting_Median_Salary",45400
"San Francisco State University (SFSU)","State","Starting_Median_Salary",47300
"University of Arizona","State","Starting_Median_Salary",47500
"Clemson University","State","Starting_Median_Salary",48400
"University of Georgia (UGA)","State","Starting_Median_Salary",44100
"Pennsylvania State University (PSU)","State","Starting_Median_Salary",49900
"University of Washington (UW)","State","Starting_Median_Salary",48800
"Michigan State University (MSU)","State","Starting_Median_Salary",46300
"University of Rhode Island (URI)","State","Starting_Median_Salary",43900
"San Diego State University (SDSU)","State","Starting_Median_Salary",46200
"Auburn University","State","Starting_Median_Salary",45400
"Washington State University (WSU)","State","Starting_Median_Salary",45300
"California State University, Long Beach (CSULB)","State","Starting_Median_Salary",45100
"Iowa State University","State","Starting_Median_Salary",45400
"University of Delaware","State","Starting_Median_Salary",45900
"University of Colorado - Denver","State","Starting_Median_Salary",46100
"California State University, East Bay (CSUEB)","State","Starting_Median_Salary",49200
"State University of New York (SUNY) at Farmingdale","State","Starting_Median_Salary",47300
"University of Minnesota","State","Starting_Median_Salary",46200
"Arizona State University (ASU)","State","Starting_Median_Salary",47400
"University of California, Santa Cruz (UCSC)","State","Starting_Median_Salary",44700
"Indiana University (IU), Bloomington","State","Starting_Median_Salary",46300
"University of Iowa (UI)","State","Starting_Median_Salary",44700
"Ohio State University (OSU)","State","Starting_Median_Salary",44900
"North Carolina State University (NCSU)","State","Starting_Median_Salary",47200
"Oregon State University (OSU)","State","Starting_Median_Salary",45100
"University of Utah","State","Starting_Median_Salary",45400
"University of Nevada, Reno (UNR)","State","Starting_Median_Salary",46500
"University of Oklahoma","State","Starting_Median_Salary",44700
"University of Arkansas","State","Starting_Median_Salary",44100
"University of Vermont (UVM)","State","Starting_Median_Salary",44800
"University of Alabama at Huntsville (UAH)","State","Starting_Median_Salary",43100
"California State University, Sacramento (CSUS)","State","Starting_Median_Salary",47800
"University of Idaho","State","Starting_Median_Salary",44900
"University of Illinois at Chicago","State","Starting_Median_Salary",47500
"State University of New York (SUNY) at Buffalo","State","Starting_Median_Salary",46200
"University of Kansas","State","Starting_Median_Salary",42400
"University of New Mexico (UNM)","State","Starting_Median_Salary",41600
"University of North Carolina at Chapel Hill (UNCH)","State","Starting_Median_Salary",42900
"University of Alabama, Tuscaloosa","State","Starting_Median_Salary",41300
"University of California, Riverside (UCR)","State","Starting_Median_Salary",46800
"State University of New York (SUNY) at Geneseo","State","Starting_Median_Salary",42300
"University of Missouri - Columbia","State","Starting_Median_Salary",41700
"University of Nebraska","State","Starting_Median_Salary",45700
"University of Texas at Arlington (UTA)","State","Starting_Median_Salary",45400
"Northern Illinois University (NIU)","State","Starting_Median_Salary",43600
"Oklahoma State University","State","Starting_Median_Salary",42800
"University of North Dakota","State","Starting_Median_Salary",44000
"California State University, Northridge (CSUN)","State","Starting_Median_Salary",45500
"University of Houston (UH)","State","Starting_Median_Salary",46000
"University of Mississippi","State","Starting_Median_Salary",41400
"New Mexico State University","State","Starting_Median_Salary",44300
"Lamar University","State","Starting_Median_Salary",46500
"Mississippi State University (MSU)","State","Starting_Median_Salary",44500
"Colorado State University (CSU)","State","Starting_Median_Salary",44800
"Kansas State University (KSU)","State","Starting_Median_Salary",43300
"University of Wyoming (UW)","State","Starting_Median_Salary",44500
"Utah State University","State","Starting_Median_Salary",43800
"University of Wisconsin (UW) - Platteville","State","Starting_Median_Salary",45800
"University of Oregon","State","Starting_Median_Salary",42200
"University of Kentucky (UK)","State","Starting_Median_Salary",42800
"University of New Hampshire (UNH)","State","Starting_Median_Salary",41800
"University of Massachusetts (UMass) - Boston","State","Starting_Median_Salary",45600
"West Virginia University (WVU)","State","Starting_Median_Salary",43100
"University of Maryland Baltimore County (UMBC)","State","Starting_Median_Salary",47000
"North Dakota State University (NDSU)","State","Starting_Median_Salary",45100
"State University of New York (SUNY) at Oswego","State","Starting_Median_Salary",38000
"University of Massachusetts (UMass) - Dartmouth","State","Starting_Median_Salary",43200
"Montana State University - Bozeman","State","Starting_Median_Salary",46600
"State University of New York (SUNY) at Oneonta","State","Starting_Median_Salary",37500
"University of Louisiana (UL) at Lafayette","State","Starting_Median_Salary",41100
"State University of New York (SUNY) at Plattsburgh","State","Starting_Median_Salary",40800
"Wayne State University","State","Starting_Median_Salary",42800
"University of Hawaii","State","Starting_Median_Salary",43800
"University of Toledo","State","Starting_Median_Salary",43100
"Florida International University (FIU)","State","Starting_Median_Salary",43200
"University of Wisconsin (UW) - Whitewater","State","Starting_Median_Salary",40800
"Western Washington University","State","Starting_Median_Salary",42700
"Minnesota State University - Mankato","State","Starting_Median_Salary",43300
"University of Tennessee","State","Starting_Median_Salary",43800
"University of Wisconsin (UW) - Milwaukee","State","Starting_Median_Salary",42300
"University of Arkansas - Monticello (UAM)","State","Starting_Median_Salary",39200
"Penn State - Harrisburg","State","Starting_Median_Salary",45700
"University of North Carolina at Charlotte (UNCC)","State","Starting_Median_Salary",43100
"Georgia State University","State","Starting_Median_Salary",41800
"Western Michigan University (WMU)","State","Starting_Median_Salary",42300
"South Dakota State University (SDSU)","State","Starting_Median_Salary",41100
"Idaho State University","State","Starting_Median_Salary",44900
"Ohio University","State","Starting_Median_Salary",42200
"Illinois State University","State","Starting_Median_Salary",42000
"Cleveland State University","State","Starting_Median_Salary",43500
"Florida State University (FSU)","State","Starting_Median_Salary",42100
"University of Alaska, Anchorage","State","Starting_Median_Salary",45900
"Fitchburg State College","State","Starting_Median_Salary",42400
"University of Nebraska at Omaha","State","Starting_Median_Salary",41500
"Southern Illinois University Carbondale","State","Starting_Median_Salary",43000
"University of Texas at El Paso (UTEP)","State","Starting_Median_Salary",43400
"California State University, Dominguez Hills (CSUDH)","State","Starting_Median_Salary",42700
"University Of Maine","State","Starting_Median_Salary",41200
"Eastern Michigan University","State","Starting_Median_Salary",40300
"Bowling Green State University","State","Starting_Median_Salary",39800
"University of Montana","State","Starting_Median_Salary",37300
"University of Central Florida (UCF)","State","Starting_Median_Salary",42600
"University of South Carolina","State","Starting_Median_Salary",40000
"University of Nevada, Las Vegas (UNLV)","State","Starting_Median_Salary",45200
"St. Cloud State University","State","Starting_Median_Salary",41800
"University of Wisconsin (UW) - Parkside","State","Starting_Median_Salary",40700
"California State University (CSU), Stanislaus","State","Starting_Median_Salary",38000
"Humboldt State University","State","Starting_Median_Salary",42600
"Florida Atlantic University (FAU)","State","Starting_Median_Salary",42600
"University of South Florida (USF)","State","Starting_Median_Salary",41100
"Portland State University (PSU)","State","Starting_Median_Salary",42600
"Eastern Washington University","State","Starting_Median_Salary",38600
"University of Texas at San Antonio (UTSA)","State","Starting_Median_Salary",42500
"University of Akron","State","Starting_Median_Salary",41100
"State University of New York (SUNY) at Potsdam","State","Starting_Median_Salary",38000
"University of Alabama at Birmingham (UAB)","State","Starting_Median_Salary",39200
"University of Memphis (U of M)","State","Starting_Median_Salary",41400
"Boise State University (BSU)","State","Starting_Median_Salary",40800
"Missouri State University (MSU)","State","Starting_Median_Salary",36100
"University of Wisconsin (UW) - La Crosse","State","Starting_Median_Salary",42200
"Appalachian State University","State","Starting_Median_Salary",40400
"Virginia Commonwealth University (VCU)","State","Starting_Median_Salary",42000
"University of Wisconsin (UW) - Stout","State","Starting_Median_Salary",43600
"East Carolina University (ECU)","State","Starting_Median_Salary",40200
"Utah Valley State College","State","Starting_Median_Salary",42400
"University of Missouri - St. Louis (UMSL)","State","Starting_Median_Salary",41400
"Western Carolina University","State","Starting_Median_Salary",36900
"University of Wisconsin (UW) - Oshkosh","State","Starting_Median_Salary",39300
"State University of New York (SUNY) at Fredonia","State","Starting_Median_Salary",37800
"University of Missouri - Kansas City (UMKC)","State","Starting_Median_Salary",38900
"University of Wisconsin (UW) - Eau Claire","State","Starting_Median_Salary",41400
"Ball State University (BSU)","State","Starting_Median_Salary",39100
"University of North Carolina at Wilmington (UNCW)","State","Starting_Median_Salary",37500
"University of Wisconsin (UW) - Stevens Point","State","Starting_Median_Salary",39800
"University of Southern Maine","State","Starting_Median_Salary",39400
"Arkansas State University (ASU)","State","Starting_Median_Salary",38700
"Kent State University","State","Starting_Median_Salary",38700
"Tarleton State University (TSU)","State","Starting_Median_Salary",40800
"University of Wisconsin (UW) - Green Bay","State","Starting_Median_Salary",35800
"Morehead State University","State","Starting_Median_Salary",34800
"Austin Peay State University","State","Starting_Median_Salary",37700
"Pittsburg State University","State","Starting_Median_Salary",40400
"Southern Utah University","State","Starting_Median_Salary",41900
"Montana State University - Billings","State","Starting_Median_Salary",37900
"Black Hills State University","State","Starting_Median_Salary",35300
"Massachusetts Institute of Technology (MIT)","Engineering","Mid_Career_Median_Salary",126000
"California Institute of Technology (CIT)","Engineering","Mid_Career_Median_Salary",123000
"Harvey Mudd College","Engineering","Mid_Career_Median_Salary",122000
"Polytechnic University of New York, Brooklyn","Engineering","Mid_Career_Median_Salary",114000
"Cooper Union","Engineering","Mid_Career_Median_Salary",114000
"Worcester Polytechnic Institute (WPI)","Engineering","Mid_Career_Median_Salary",114000
"Carnegie Mellon University (CMU)","Engineering","Mid_Career_Median_Salary",111000
"Rensselaer Polytechnic Institute (RPI)","Engineering","Mid_Career_Median_Salary",110000
"Georgia Institute of Technology","Engineering","Mid_Career_Median_Salary",106000
"Colorado School of Mines","Engineering","Mid_Career_Median_Salary",106000
"Stevens Institute of Technology","Engineering","Mid_Career_Median_Salary",105000
"Illinois Institute of Technology (IIT)","Engineering","Mid_Career_Median_Salary",97800
"Wentworth Institute of Technology","Engineering","Mid_Career_Median_Salary",96700
"Virginia Polytechnic Institute and State University (Virginia Tech)","Engineering","Mid_Career_Median_Salary",95400
"South Dakota School of Mines & Technology","Engineering","Mid_Career_Median_Salary",93400
"New Mexico Institute of Mining and Technology (New Mexico Tech)","Engineering","Mid_Career_Median_Salary",93400
"Rochester Institute of Technology (RIT)","Engineering","Mid_Career_Median_Salary",84600
"Embry-Riddle Aeronautical University (ERAU)","Engineering","Mid_Career_Median_Salary",80700
"Tennessee Technological University","Engineering","Mid_Career_Median_Salary",80000
"University of Illinois at Urbana-Champaign (UIUC)","Party","Mid_Career_Median_Salary",96100
"University of Maryland, College Park","Party","Mid_Career_Median_Salary",95000
"University of California, Santa Barbara (UCSB)","Party","Mid_Career_Median_Salary",95000
"University of Texas (UT) - Austin","Party","Mid_Career_Median_Salary",93900
"State University of New York (SUNY) at Albany","Party","Mid_Career_Median_Salary",92200
"University of Florida (UF)","Party","Mid_Career_Median_Salary",87900
"Louisiana State University (LSU)","Party","Mid_Career_Median_Salary",87800
"University of Georgia (UGA)","Party","Mid_Career_Median_Salary",86000
"Pennsylvania State University (PSU)","Party","Mid_Career_Median_Salary",85700
"Arizona State University (ASU)","Party","Mid_Career_Median_Salary",84100
"Indiana University (IU), Bloomington","Party","Mid_Career_Median_Salary",84000
"University of Iowa (UI)","Party","Mid_Career_Median_Salary",83900
"Randolph-Macon College","Party","Mid_Career_Median_Salary",83600
"University of Alabama, Tuscaloosa","Party","Mid_Career_Median_Salary",81400
"University of Mississippi","Party","Mid_Career_Median_Salary",79700
"University of New Hampshire (UNH)","Party","Mid_Career_Median_Salary",78300
"West Virginia University (WVU)","Party","Mid_Career_Median_Salary",78100
"University of Tennessee","Party","Mid_Career_Median_Salary",74600
"Ohio University","Party","Mid_Career_Median_Salary",73400
"Florida State University (FSU)","Party","Mid_Career_Median_Salary",73000
"Bucknell University","Liberal Arts","Mid_Career_Median_Salary",110000
"Colgate University","Liberal Arts","Mid_Career_Median_Salary",108000
"Amherst College","Liberal Arts","Mid_Career_Median_Salary",107000
"Lafayette College","Liberal Arts","Mid_Career_Median_Salary",107000
"Bowdoin College","Liberal Arts","Mid_Career_Median_Salary",107000
"College of the Holy Cross","Liberal Arts","Mid_Career_Median_Salary",106000
"Occidental College","Liberal Arts","Mid_Career_Median_Salary",105000
"Washington and Lee University","Liberal Arts","Mid_Career_Median_Salary",104000
"Swarthmore College","Liberal Arts","Mid_Career_Median_Salary",104000
"Davidson College","Liberal Arts","Mid_Career_Median_Salary",104000
"Carleton College","Liberal Arts","Mid_Career_Median_Salary",103000
"Williams College","Liberal Arts","Mid_Career_Median_Salary",102000
"Pomona College","Liberal Arts","Mid_Career_Median_Salary",101000
"Wesleyan University (Middletown, Connecticut)","Liberal Arts","Mid_Career_Median_Salary",97900
"Bates College","Liberal Arts","Mid_Career_Median_Salary",96500
"Union College","Liberal Arts","Mid_Career_Median_Salary",95800
"University of Richmond","Liberal Arts","Mid_Career_Median_Salary",94600
"Vassar College","Liberal Arts","Mid_Career_Median_Salary",94600
"Middlebury College","Liberal Arts","Mid_Career_Median_Salary",94200
"Mount Holyoke College","Liberal Arts","Mid_Career_Median_Salary",94100
"Franklin and Marshall College","Liberal Arts","Mid_Career_Median_Salary",92800
"DePauw University","Liberal Arts","Mid_Career_Median_Salary",88300
"St. Olaf College","Liberal Arts","Mid_Career_Median_Salary",86200
"Colby College","Liberal Arts","Mid_Career_Median_Salary",85800
"Gettysburg College","Liberal Arts","Mid_Career_Median_Salary",85800
"Siena College","Liberal Arts","Mid_Career_Median_Salary",85200
"Smith College","Liberal Arts","Mid_Career_Median_Salary",83900
"Hamilton College","Liberal Arts","Mid_Career_Median_Salary",83700
"Randolph-Macon College","Liberal Arts","Mid_Career_Median_Salary",83600
"Wellesley College","Liberal Arts","Mid_Career_Median_Salary",83500
"Denison University","Liberal Arts","Mid_Career_Median_Salary",83500
"Oberlin College","Liberal Arts","Mid_Career_Median_Salary",81600
"University of Puget Sound","Liberal Arts","Mid_Career_Median_Salary",81500
"Colorado College (CC)","Liberal Arts","Mid_Career_Median_Salary",81400
"Reed College","Liberal Arts","Mid_Career_Median_Salary",81100
"Gustavus Adolphus College","Liberal Arts","Mid_Career_Median_Salary",80600
"Whitman College","Liberal Arts","Mid_Career_Median_Salary",80100
"Ursinus College","Liberal Arts","Mid_Career_Median_Salary",80000
"Juniata College","Liberal Arts","Mid_Career_Median_Salary",78900
"Wittenberg University","Liberal Arts","Mid_Career_Median_Salary",78200
"Grinnell College","Liberal Arts","Mid_Career_Median_Salary",76600
"Skidmore College","Liberal Arts","Mid_Career_Median_Salary",74600
"Moravian College","Liberal Arts","Mid_Career_Median_Salary",74400
"Lewis & Clark College","Liberal Arts","Mid_Career_Median_Salary",72600
"Fort Lewis College","Liberal Arts","Mid_Career_Median_Salary",69800
"Thomas Aquinas College","Liberal Arts","Mid_Career_Median_Salary",67500
"Evergreen State College","Liberal Arts","Mid_Career_Median_Salary",63900
"Dartmouth College","Ivy League","Mid_Career_Median_Salary",134000
"Princeton University","Ivy League","Mid_Career_Median_Salary",131000
"Yale University","Ivy League","Mid_Career_Median_Salary",126000
"Harvard University","Ivy League","Mid_Career_Median_Salary",124000
"University of Pennsylvania","Ivy League","Mid_Career_Median_Salary",120000
"Cornell University","Ivy League","Mid_Career_Median_Salary",110000
"Brown University","Ivy League","Mid_Career_Median_Salary",109000
"Columbia University","Ivy League","Mid_Career_Median_Salary",107000
"University of California, Berkeley","State","Mid_Career_Median_Salary",112000
"University of Virginia (UVA)","State","Mid_Career_Median_Salary",103000
"Cal Poly San Luis Obispo","State","Mid_Career_Median_Salary",101000
"University of California at Los Angeles (UCLA)","State","Mid_Career_Median_Salary",101000
"University of California, San Diego (UCSD)","State","Mid_Career_Median_Salary",101000
"University of California, Davis","State","Mid_Career_Median_Salary",99600
"University of Colorado - Boulder (UCB)","State","Mid_Career_Median_Salary",97600
"University of California, Irvine (UCI)","State","Mid_Career_Median_Salary",96700
"University of Illinois at Urbana-Champaign (UIUC)","State","Mid_Career_Median_Salary",96100
"Texas A&M University","State","Mid_Career_Median_Salary",96100
"Binghamton University","State","Mid_Career_Median_Salary",95900
"University of Missouri - Rolla (UMR)","State","Mid_Career_Median_Salary",95800
"San Jose State University (SJSU)","State","Mid_Career_Median_Salary",95600
"University of Maryland, College Park","State","Mid_Career_Median_Salary",95000
"University of California, Santa Barbara (UCSB)","State","Mid_Career_Median_Salary",95000
"University of Texas (UT) - Austin","State","Mid_Career_Median_Salary",93900
"University of Michigan","State","Mid_Career_Median_Salary",93000
"Stony Brook University","State","Mid_Career_Median_Salary",93000
"State University of New York (SUNY) at Albany","State","Mid_Career_Median_Salary",92200
"Rutgers University","State","Mid_Career_Median_Salary",91800
"Purdue University","State","Mid_Career_Median_Salary",90500
"University of Connecticut (UConn)","State","Mid_Career_Median_Salary",88800
"University of Massachusetts (UMass) - Amherst","State","Mid_Career_Median_Salary",88200
"California State University (CSU), Chico","State","Mid_Career_Median_Salary",88100
"University of Florida (UF)","State","Mid_Career_Median_Salary",87900
"University of Wisconsin (UW) - Madison","State","Mid_Career_Median_Salary",87800
"Louisiana State University (LSU)","State","Mid_Career_Median_Salary",87800
"California State University, Fullerton (CSUF)","State","Mid_Career_Median_Salary",87000
"George Mason University","State","Mid_Career_Median_Salary",86900
"University of Massachusetts (UMass) - Lowell","State","Mid_Career_Median_Salary",86600
"San Francisco State University (SFSU)","State","Mid_Career_Median_Salary",86400
"University of Arizona","State","Mid_Career_Median_Salary",86100
"Clemson University","State","Mid_Career_Median_Salary",86000
"University of Georgia (UGA)","State","Mid_Career_Median_Salary",86000
"Pennsylvania State University (PSU)","State","Mid_Career_Median_Salary",85700
"University of Washington (UW)","State","Mid_Career_Median_Salary",85300
"Michigan State University (MSU)","State","Mid_Career_Median_Salary",85300
"University of Rhode Island (URI)","State","Mid_Career_Median_Salary",85300
"San Diego State University (SDSU)","State","Mid_Career_Median_Salary",85200
"Auburn University","State","Mid_Career_Median_Salary",84700
"Washington State University (WSU)","State","Mid_Career_Median_Salary",84700
"California State University, Long Beach (CSULB)","State","Mid_Career_Median_Salary",84700
"Iowa State University","State","Mid_Career_Median_Salary",84600
"University of Delaware","State","Mid_Career_Median_Salary",84500
"University of Colorado - Denver","State","Mid_Career_Median_Salary",84400
"California State University, East Bay (CSUEB)","State","Mid_Career_Median_Salary",84300
"State University of New York (SUNY) at Farmingdale","State","Mid_Career_Median_Salary",84200
"University of Minnesota","State","Mid_Career_Median_Salary",84200
"Arizona State University (ASU)","State","Mid_Career_Median_Salary",84100
"University of California, Santa Cruz (UCSC)","State","Mid_Career_Median_Salary",84100
"Indiana University (IU), Bloomington","State","Mid_Career_Median_Salary",84000
"University of Iowa (UI)","State","Mid_Career_Median_Salary",83900
"Ohio State University (OSU)","State","Mid_Career_Median_Salary",83700
"North Carolina State University (NCSU)","State","Mid_Career_Median_Salary",83300
"Oregon State University (OSU)","State","Mid_Career_Median_Salary",83300
"University of Utah","State","Mid_Career_Median_Salary",83200
"University of Nevada, Reno (UNR)","State","Mid_Career_Median_Salary",82900
"University of Oklahoma","State","Mid_Career_Median_Salary",82900
"University of Arkansas","State","Mid_Career_Median_Salary",82800
"University of Vermont (UVM)","State","Mid_Career_Median_Salary",82700
"University of Alabama at Huntsville (UAH)","State","Mid_Career_Median_Salary",82700
"California State University, Sacramento (CSUS)","State","Mid_Career_Median_Salary",82400
"University of Idaho","State","Mid_Career_Median_Salary",82000
"University of Illinois at Chicago","State","Mid_Career_Median_Salary",81700
"State University of New York (SUNY) at Buffalo","State","Mid_Career_Median_Salary",81700
"University of Kansas","State","Mid_Career_Median_Salary",81600
"University of New Mexico (UNM)","State","Mid_Career_Median_Salary",81600
"University of North Carolina at Chapel Hill (UNCH)","State","Mid_Career_Median_Salary",81500
"University of Alabama, Tuscaloosa","State","Mid_Career_Median_Salary",81400
"University of California, Riverside (UCR)","State","Mid_Career_Median_Salary",81300
"State University of New York (SUNY) at Geneseo","State","Mid_Career_Median_Salary",81300
"University of Missouri - Columbia","State","Mid_Career_Median_Salary",81000
"University of Nebraska","State","Mid_Career_Median_Salary",80900
"University of Texas at Arlington (UTA)","State","Mid_Career_Median_Salary",80800
"Northern Illinois University (NIU)","State","Mid_Career_Median_Salary",80800
"Oklahoma State University","State","Mid_Career_Median_Salary",80700
"University of North Dakota","State","Mid_Career_Median_Salary",80600
"California State University, Northridge (CSUN)","State","Mid_Career_Median_Salary",80400
"University of Houston (UH)","State","Mid_Career_Median_Salary",79900
